Channel_bacteria_img,Count_FilterObjects,Count_RunOmnipose,ExecutionTime_01Images,ExecutionTime_02Metadata,ExecutionTime_03NamesAndTypes,ExecutionTime_04Groups,ExecutionTime_05RunOmnipose,ExecutionTime_06FilterObjects,ExecutionTime_07TrackObjects,ExecutionTime_08MeasureObjectSizeShape,ExecutionTime_09MeasureObjectNeighbors,ExecutionTime_10ConvertObjectsToImage,ExecutionTime_11ConvertObjectsToImage,ExecutionTime_12Tile,ExecutionTime_13SaveImages,ExecutionTime_14SaveImages,ExecutionTime_15SaveImages,ExecutionTime_16SaveImages,FileName_bacteria_img,Frame_bacteria_img,Group_Index,Group_Length,Group_Number,Height_bacteria_img,ImageNumber,ImageSet_ImageSet,MD5Digest_bacteria_img,Metadata_FileLocation,Metadata_Frame,Metadata_Series,ModuleError_01Images,ModuleError_02Metadata,ModuleError_03NamesAndTypes,ModuleError_04Groups,ModuleError_05RunOmnipose,ModuleError_06FilterObjects,ModuleError_07TrackObjects,ModuleError_08MeasureObjectSizeShape,ModuleError_09MeasureObjectNeighbors,ModuleError_10ConvertObjectsToImage,ModuleError_11ConvertObjectsToImage,ModuleError_12Tile,ModuleError_13SaveImages,ModuleError_14SaveImages,ModuleError_15SaveImages,ModuleError_16SaveImages,PathName_bacteria_img,ProcessingStatus,Scaling_bacteria_img,Series_bacteria_img,TrackObjects_LostObjectCount_FilterObjects_50,TrackObjects_MergedObjectCount_FilterObjects_50,TrackObjects_NewObjectCount_FilterObjects_50,TrackObjects_SplitObjectCount_FilterObjects_50,URL_bacteria_img,Width_bacteria_img
-1,206.0,217.0,0.0,0.0,1.2699999999999996,0.0,72.92000000000002,0.5799999999999983,0.9099999999999966,0.29999999999999716,1.5300000000000153,0.789999999999992,0.030000000000001137,0.19999999999998863,2.0200000000000102,0.01999999999999602,0.030000000000001137,0.06999999999999318,clara heiman 6b_Z00_C0_T0.tif,0,1,23,1,2048,1,b'eLvL0M49G01dA526gEWxs0F8iIFeSWYauOCFuR4YOiBXYZbQIEYUvJgGhw+QAQ5jUJHt62oHAJtylxM=',6cb690871bd41de49dd0e4f188af985b,file:/home/alireza/Documents/Final/Fig_6B_clara_heiman/modified_images/clara%20heiman%206b_Z00_C0_T0.tif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/home/alireza/Documents/Final/Fig_6B_clara_heiman/modified_images,Done,65535,0,0,0,206,0,file:/home/alireza/Documents/Final/Fig_6B_clara_heiman/modified_images/clara%20heiman%206b_Z00_C0_T0.tif,2048
-1,209.0,219.0,0.0,0.0,0.3199999999999932,0.0,72.49,0.5800000000000125,1.009999999999991,0.29999999999998295,1.4800000000000182,0.7299999999999898,0.010000000000019327,0.21000000000000796,2.0,0.01999999999998181,0.020000000000010232,0.05000000000001137,clara heiman 6b_Z01_C0_T0.tif,0,2,23,1,2048,2,b'eLvL0M49G01dA526DAzjnQ3iQwz0SjLTwAUvzPXA0AG5CrOEBjGi4MU0OHyADHAYg4psX1c7AJvFlxQ=',f9886f9ce524bf15538193cccb64d5b6,file:/home/alireza/Documents/Final/Fig_6B_clara_heiman/modified_images/clara%20heiman%206b_Z01_C0_T0.tif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/home/alireza/Documents/Final/Fig_6B_clara_heiman/modified_images,Done,65535,0,3,5,2,8,file:/home/alireza/Documents/Final/Fig_6B_clara_heiman/modified_images/clara%20heiman%206b_Z01_C0_T0.tif,2048
-1,227.0,236.0,0.0,0.0,0.3400000000000034,0.0,68.82,0.5800000000000125,0.9099999999999966,0.3300000000000125,1.5,1.1599999999999966,0.010000000000019327,0.21999999999997044,1.950000000000017,0.009999999999990905,0.030000000000001137,0.040000000000020464,clara heiman 6b_Z02_C0_T0.tif,0,3,23,1,2048,3,b'eLvL0M49G01dA526DIzinQ3iQwz0SjLTwAUvzPXA0AG5CrOEBjGi4MU0OHyADHAYg4psX1c7AJwYlxU=',7a1d8a5fa862109ec7826b4d7363920e,file:/home/alireza/Documents/Final/Fig_6B_clara_heiman/modified_images/clara%20heiman%206b_Z02_C0_T0.tif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/home/alireza/Documents/Final/Fig_6B_clara_heiman/modified_images,Done,65535,0,3,4,4,27,file:/home/alireza/Documents/Final/Fig_6B_clara_heiman/modified_images/clara%20heiman%206b_Z02_C0_T0.tif,2048
-1,233.0,242.0,0.0,0.0,0.29999999999998295,0.0,71.76999999999995,0.5999999999999659,0.9200000000000728,0.32999999999992724,1.5200000000000387,1.170000000000016,0.009999999999990905,0.21000000000003638,2.419999999999959,0.01999999999998181,0.029999999999972715,0.05000000000006821,clara heiman 6b_Z03_C0_T0.tif,0,4,23,1,2048,4,b'eLvL0M49G01dA526DIzjnQ3iQwz0SjLTwAUvzPXA0AG5CrOEBjGi4MU0OHyADHAYg4psX1c7AJxrlxY=',0a766849e15b1182824acd8a162e9899,file:/home/alireza/Documents/Final/Fig_6B_clara_heiman/modified_images/clara%20heiman%206b_Z03_C0_T0.tif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/home/alireza/Documents/Final/Fig_6B_clara_heiman/modified_images,Done,65535,0,1,2,0,34,file:/home/alireza/Documents/Final/Fig_6B_clara_heiman/modified_images/clara%20heiman%206b_Z03_C0_T0.tif,2048
-1,240.0,251.0,0.0,0.0,0.3900000000000432,0.0,70.80999999999995,0.589999999999975,0.9200000000000159,0.34000000000003183,1.5200000000000387,0.7899999999999636,0.0,0.20999999999997954,2.840000000000032,0.009999999999990905,0.040000000000020464,0.049999999999954525,clara heiman 6b_Z04_C0_T0.tif,0,5,23,1,2048,5,b'eLvL0M49G01dA526DEzinQ3iQwz0SjLTwAUvzPXA0AG5CrOEBjGi4MU0OHyADHAYg4psX1c7AJy+lxc=',df5bc15f6daa3ec5988fc8ba8b2a23e7,file:/home/alireza/Documents/Final/Fig_6B_clara_heiman/modified_images/clara%20heiman%206b_Z04_C0_T0.tif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/home/alireza/Documents/Final/Fig_6B_clara_heiman/modified_images,Done,65535,0,3,5,2,42,file:/home/alireza/Documents/Final/Fig_6B_clara_heiman/modified_images/clara%20heiman%206b_Z04_C0_T0.tif,2048
-1,247.0,260.0,0.0,0.0,0.339999999999975,0.0,72.25000000000006,0.5999999999999659,0.9500000000000455,0.3499999999999659,1.509999999999991,0.7900000000000205,0.0,0.19999999999998863,2.900000000000034,0.01999999999998181,0.03999999999996362,0.04000000000007731,clara heiman 6b_Z05_C0_T0.tif,0,6,23,1,2048,6,b'eLvL0M49G01dA526DEzjnQ3iQwz0SjLTwAUvzPXA0AG5CrOEBjGi4MU0OHyADHAYg4psX1c7AJ0Rlxg=',23b53b24a017528f44fd3e2760cbdbbd,file:/home/alireza/Documents/Final/Fig_6B_clara_heiman/modified_images/clara%20heiman%206b_Z05_C0_T0.tif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/home/alireza/Documents/Final/Fig_6B_clara_heiman/modified_images,Done,65535,0,3,10,1,48,file:/home/alireza/Documents/Final/Fig_6B_clara_heiman/modified_images/clara%20heiman%206b_Z05_C0_T0.tif,2048
-1,254.0,265.0,0.0,0.0,0.20999999999997954,0.0,71.68,0.5900000000000318,0.9400000000000546,0.34999999999990905,1.5199999999999818,0.7700000000000955,0.0,0.1999999999999318,2.340000000000032,0.01999999999998181,0.020000000000095497,0.029999999999972715,clara heiman 6b_Z06_C0_T0.tif,0,7,23,1,2048,7,b'eLvL0M49G01dA526DMzinQ3iQwz0SjLTwAUvzPXA0AG5CrOEBjGi4MU0OHyADHAYg4psX1c7AJ1klxk=',6a5f73f0202eee88dc0a3ab2d816bebd,file:/home/alireza/Documents/Final/Fig_6B_clara_heiman/modified_images/clara%20heiman%206b_Z06_C0_T0.tif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/home/alireza/Documents/Final/Fig_6B_clara_heiman/modified_images,Done,65535,0,1,14,2,56,file:/home/alireza/Documents/Final/Fig_6B_clara_heiman/modified_images/clara%20heiman%206b_Z06_C0_T0.tif,2048
-1,262.0,276.0,0.0,0.0,0.2699999999999818,0.0,74.22000000000003,0.5900000000000318,0.9699999999999136,0.37000000000011823,1.5499999999999545,0.7999999999999545,0.010000000000104592,0.2099999999999227,2.6399999999999864,0.009999999999990905,0.029999999999972715,0.06000000000005912,clara heiman 6b_Z07_C0_T0.tif,0,8,23,1,2048,8,b'eLvL0M49G01dA526DMzjnQ3iQwz0SjLTwAUvzPXA0AG5CrOEBjGi4MU0OHyADHAYg4psX1c7AJ23lxo=',751d17f19ad45e98bcb52093570e89b0,file:/home/alireza/Documents/Final/Fig_6B_clara_heiman/modified_images/clara%20heiman%206b_Z07_C0_T0.tif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/home/alireza/Documents/Final/Fig_6B_clara_heiman/modified_images,Done,65535,0,2,18,2,64,file:/home/alireza/Documents/Final/Fig_6B_clara_heiman/modified_images/clara%20heiman%206b_Z07_C0_T0.tif,2048
-1,285.0,300.0,0.0,0.0,0.17999999999994998,0.0,73.18000000000018,0.5899999999999181,0.9900000000000091,0.38999999999998636,1.5500000000000682,0.7899999999999636,0.0,0.20000000000004547,3.159999999999968,0.01999999999998181,0.01999999999998181,0.049999999999954525,clara heiman 6b_Z08_C0_T0.tif,0,9,23,1,2048,9,b'eLvL0M49G01dA526DCzinQ3iQwz0SjLTwAUvzPXA0AG5CrOEBjGi4MU0OHyADHAYg4psX1c7AJ4Klxs=',674e5118721eeef91d3dc48aa76fe8ff,file:/home/alireza/Documents/Final/Fig_6B_clara_heiman/modified_images/clara%20heiman%206b_Z08_C0_T0.tif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/home/alireza/Documents/Final/Fig_6B_clara_heiman/modified_images,Done,65535,0,4,20,3,79,file:/home/alireza/Documents/Final/Fig_6B_clara_heiman/modified_images/clara%20heiman%206b_Z08_C0_T0.tif,2048
-1,267.0,281.0,0.0,0.0,0.17000000000007276,0.0,76.01999999999998,0.6100000000000136,0.9800000000000182,0.37999999999999545,1.5499999999999545,0.8000000000000682,0.009999999999990905,0.22000000000002728,3.0599999999999454,0.01999999999998181,0.049999999999954525,0.060000000000172804,clara heiman 6b_Z09_C0_T0.tif,0,10,23,1,2048,10,b'eLvL0M49G01dA526DCzjnQ3iQwz0SjLTwAUvzPXA0AG5CrOEBjGi4MU0OHyADHAYg4psX1c7AJ5dlxw=',9c6e4fe6a4fc8b9cc001c67255044f17,file:/home/alireza/Documents/Final/Fig_6B_clara_heiman/modified_images/clara%20heiman%206b_Z09_C0_T0.tif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/home/alireza/Documents/Final/Fig_6B_clara_heiman/modified_images,Done,65535,0,8,43,3,74,file:/home/alireza/Documents/Final/Fig_6B_clara_heiman/modified_images/clara%20heiman%206b_Z09_C0_T0.tif,2048
