ImageNumber,ObjectNumber,AreaShape_Area,AreaShape_BoundingBoxArea,AreaShape_BoundingBoxMaximum_X,AreaShape_BoundingBoxMaximum_Y,AreaShape_BoundingBoxMinimum_X,AreaShape_BoundingBoxMinimum_Y,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Compactness,AreaShape_ConvexArea,AreaShape_Eccentricity,AreaShape_EquivalentDiameter,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,Location_Center_X,Location_Center_Y,Location_Center_Z,Neighbors_AngleBetweenNeighbors_Expanded,Neighbors_FirstClosestDistance_Expanded,Neighbors_FirstClosestObjectNumber_Expanded,Neighbors_NumberOfNeighbors_Expanded,Neighbors_PercentTouching_Expanded,Neighbors_SecondClosestDistance_Expanded,Neighbors_SecondClosestObjectNumber_Expanded,Number_Object_Number,TrackObjects_ParentImageNumber_50,TrackObjects_ParentObjectNumber_50
1,1,266,624,270,277,246,251,257.54135338345867,263.9172932330827,1.6009897846211725,278,0.955853877791222,18.403307281560924,1,0.4262820512820512,0.6246136044126108,34.217796983972875,31.240998703626616,5.0,2.481919325529155,2.23606797749979,9.030920336482534,10.05464007021876,41.11875774959177,73.1543289325507,0.9568345323741008,257.54135338345867,263.9172932330827,0,0.0,0.0,0,0.0,0.0,0.0,0,1,0.0,0
2,1,282,672,270,278,246,250,257.1985815602837,264.1099290780142,1.654404825520684,298,0.9596661920959648,18.948708441878452,1,0.4196428571428571,0.6044469797078077,36.06495382005919,32.802438933713454,5.0,2.49382656926964,2.23606797749979,9.124992423320894,10.139371680836174,40.68676552939287,76.5685424949238,0.9463087248322148,257.1985815602837,264.1099290780142,0,0.0,0.0,0,0.0,0.0,0.0,0,1,1.0,1
3,1,304,754,271,278,245,249,257.2467105263158,263.1578947368421,1.7343351476139262,326,0.9642538654205748,19.67396303746374,1,0.403183023872679,0.5765898254300997,38.63944950778705,35.0,5.0,2.507915065021168,2.23606797749979,9.21865535516851,10.238687354514015,39.99791238368924,81.39696961966999,0.9325153374233128,257.2467105263158,263.1578947368421,0,0.0,0.0,0,0.0,0.0,0.0,0,1,2.0,1
4,1,315,806,271,279,245,248,257.3015873015873,263.1047619047619,1.8171292792251232,337,0.969349518834814,20.02674353437364,1,0.390818858560794,0.5503185774577519,40.798290765448165,37.20215047547655,5.0,2.4834608394268742,2.23606797749979,9.21865535516851,10.023560540368512,39.08632335772045,84.8111831820431,0.9347181008902076,257.3015873015873,263.1047619047619,0,0.0,0.0,0,0.0,0.0,0.0,0,1,3.0,1
5,1,335,891,271,279,244,246,256.65671641791045,262.5074626865672,1.933761590729316,362,0.9730846391976936,20.65272978291924,1,0.3759820426487093,0.5171268292813961,43.63026027979444,39.408120990476064,5.0,2.471844224068288,2.23606797749979,9.141905881261977,10.054506623610882,37.88722593917581,90.22539674441616,0.925414364640884,256.65671641791045,262.5074626865672,0,0.0,0.0,0,0.0,0.0,0.0,0,1,4.0,1
6,1,352,980,272,280,244,245,256.89204545454544,262.4005681818182,2.042615662068197,387,0.9756816108152692,21.17026971360491,1,0.3591836734693877,0.4895683601032786,45.88757397649751,41.617304093369626,5.0,2.464928794988848,2.23606797749979,9.267603564915325,10.05821648244199,37.19493002073183,95.0538238691624,0.909560723514212,256.89204545454544,262.4005681818182,0,0.0,0.0,0,0.0,0.0,0.0,0,1,5.0,1
7,1,375,1102,272,281,243,243,256.608,261.976,2.152335201813349,415,0.9785611669294983,21.850968611841584,1,0.3402903811252268,0.4646116456012505,49.00155091979221,43.829214001622255,5.0,2.466135460829922,2.23606797749979,9.34507254482408,10.092183483023428,36.34113340984253,100.71067811865476,0.9036144578313252,256.608,261.976,0,0.0,0.0,0,0.0,0.0,0.0,0,1,6.0,1
8,1,397,1240,273,281,242,241,256.2367758186398,261.4962216624685,2.267868127181228,444,0.9807475898012534,22.48279562821002,1,0.3201612903225806,0.440942746191736,51.97664636219875,46.61544808322666,5.0,2.4780247399265414,2.23606797749979,9.502372438881414,10.149984423238864,36.29795395646526,106.36753236814712,0.8941441441441441,256.2367758186398,261.4962216624685,0,0.0,0.0,0,0.0,0.0,0.0,0,1,7.0,1
9,1,223,450,260,266,242,241,250.0,253.1748878923767,1.5082554697851398,239,0.9441739346900372,16.85029431422316,1,0.4955555555555556,0.663017651871971,29.671328371637983,27.29468812791236,5.0,2.370853857486069,2.23606797749979,9.044114108081564,9.775141612149364,32.66358565805327,65.01219330881975,0.9330543933054394,250.0,253.1748878923767,0,0.0,23.992388896270736,2,1.0,46.81181959564541,0.0,0,1,8.0,1
9,2,192,378,274,283,256,262,264.3802083333333,272.3802083333333,1.3196346166781652,201,0.9138086343650654,15.635280380893438,1,0.5079365079365079,0.7577855168101292,24.7921697447368,22.825424421026653,5.0,2.4000602818351733,2.23606797749979,9.192388155425116,10.069216352788745,39.86545706618261,56.42640687119285,0.9552238805970148,264.3802083333333,272.3802083333333,0,0.0,23.992388896270736,1,1.0,41.82491894395554,0.0,0,2,8.0,1
10,1,241,520,261,266,241,240,249.70954356846477,252.9087136929461,1.5837013196627845,258,0.9504758691289228,17.517155313611116,1,0.4634615384615385,0.6314321946848721,31.783367375481426,29.154759474226505,5.0,2.3912442999977475,2.23606797749979,9.183563460761723,9.878218538662704,34.03382260634444,69.25483399593904,0.9341085271317828,249.70954356846477,252.9087136929461,0,0.0,25.70320260949136,2,1.0,47.09809964047252,0.0,0,1,9.0,1
