CellId,label,birth_length,AverageLength,AverageVelocity,LifeHistory,GrowthRate,AverageOrientation
1.0,,6.722189820737271,7.013683643531837,0.0,3.0,0.019,-2.9101247092397906
2.0,1.0,4.016276695402465,5.71489511049612,0.02,15.0,0.023,-0.3977175943598233
3.0,1.0,3.9115933135591994,5.532694151518474,0.008,15.0,0.023,-0.42643621849791113
4.0,1.0,3.900304943356763,5.378324684566628,0.001,14.0,0.023,-2.257008655053594
5.0,1.0,3.832006365685587,5.2638630398738755,-0.001,16.0,0.018,-0.6722267570311786
6.0,1.0,3.8024350301376706,5.3864021569812675,0.001,17.0,0.02,-2.3115561568398277
7.0,1.0,3.600893101444885,5.0973135002548915,0.007,20.0,0.017,-0.36975229579544083
8.0,1.0,3.8592786246652087,5.642000735609965,0.001,16.0,0.021,-2.81216928555711
9.0,1.0,3.482559070224215,5.251760018449389,0.009,16.0,0.025,-1.5533239957196319
10.0,1.0,3.41823000409907,5.098372688378523,0.005,17.0,0.019,-2.7653708827443606
11.0,1.0,3.879063421163565,5.849933485282017,-0.002,20.0,0.024,-1.7362201722783532
12.0,1.0,3.392473648607499,5.1521630122027675,-0.01,16.0,0.024,-2.906567859415776
13.0,1.0,3.805893087099785,5.240686215121032,-0.006,14.0,0.024,-0.7514743917764799
14.0,1.0,3.63503274700758,5.057517721703173,0.004,16.0,0.021,-0.7166137716162277
15.0,1.0,3.9152236433178365,5.2446144324656805,-0.008,13.0,0.023,-1.7900416274856286
16.0,1.0,3.3422757634114295,4.731738886280239,-0.006,17.0,0.019,-2.7058469355489163
17.0,1.0,3.8591396990156155,5.471074444132063,-0.0,14.0,0.025,-0.9849859803540854
18.0,1.0,3.619519080548786,5.2962271461103985,0.006,14.0,0.028,-1.1974060382501552
19.0,1.0,4.08915790851015,5.361720385660898,0.014,12.0,0.024,-1.0591457479716386
20.0,1.0,3.544718076082659,5.644934067858335,0.016,16.0,0.031,-0.9558093187269809
21.0,1.0,3.897776865440808,5.739207659271155,-0.004,17.0,0.022,-2.7072039670156967
22.0,1.0,3.6205965896600305,5.245658851672257,0.003,16.0,0.023,-2.4849806595297066
23.0,1.0,3.6473625361674027,5.218335687647298,0.006,14.0,0.025,-0.6895170448923243
24.0,1.0,3.5397721030844527,4.614832528810183,0.0,18.0,0.015,-2.4049403725569203
25.0,1.0,3.344996588308733,4.628151252058617,0.009,15.0,0.021,-0.8518320367156539
26.0,1.0,3.813666374245403,5.54897106214247,-0.008,15.0,0.025,-2.32756670472426
