TimeStep,NumberOfCells
1,1
2,1
3,1
4,2
5,2
6,2
7,2
8,2
9,2
10,2
11,2
12,2
13,2
14,2
15,2
16,2
17,2
18,2
19,4
20,4
21,4
22,4
23,4
24,4
25,4
26,4
27,4
28,4
29,4
30,4
31,4
32,4
33,5
34,5
35,6
36,7
37,7
38,7
39,8
40,8
41,8
42,8
43,8
44,8
45,8
46,8
47,8
48,8
49,10
50,11
51,11
52,14
53,14
54,14
55,16
56,16
57,16
58,16
59,16
60,16
61,17
62,17
63,19
64,19
65,19
66,22
67,26
68,31
69,31
70,32
71,32
72,32
73,32
74,32
75,32
76,32
77,33
78,34
79,35
80,36
81,38
82,41
83,46
84,51
85,56
86,59
87,60
88,61
89,62
90,62
91,62
92,64
93,65
94,68
95,71
96,73
97,79
98,87
99,94
100,102
101,105
102,107
103,115
104,118
105,120
106,123
107,128
108,131
109,134
110,140
111,144
112,151
113,160
114,176
115,185
116,194
117,205
118,213
119,220
120,227
121,235
122,243
123,252
124,258
125,286
126,297
127,312
128,327
129,343
130,358
131,376
