stepNum,ObjectNumber,AreaShape_Area,AreaShape_Center_X,AreaShape_Center_Y,length,AreaShape_MinorAxisLength,AreaShape_Orientation,Children_transconjugants_Count,Intensity_MeanIntensity_gfp_channel_14bit,Intensity_MeanIntensity_rfp_channel_14bit,Location_Center_X,Location_Center_Y,Location_Center_Z,Neighbors_AngleBetweenNeighbors_6,Number_Object_Number,label,TrackObjects_Lifetime_50,TrackObjects_ParentImageNumber_50,TrackObjects_ParentObjectNumber_50,divideFlag,daughters_index,unexpected_end,division_time,unexpected_beginning,parent_id,bacteria_movement,endpoint1_X,endpoint1_Y,endpoint2_X,endpoint2_Y,bacteria_slope,id,direction_of_motion,TrajectoryX,TrajectoryY,parent_index,daughter_mother_LengthChangeRatio,slope_bac_bac,prev_bacteria_slope,daughter_length_to_mother,max_daughter_len_to_mother,avg_daughters_TrajectoryX,avg_daughters_TrajectoryY,other_daughter_index,LifeHistory,prev_time_step_MajorAxisLength,LengthChangeRatio,prev_time_step_center_x,prev_time_step_center_y,prev_time_step_endpoint1_X,prev_time_step_endpoint1_Y,prev_time_step_endpoint2_X,prev_time_step_endpoint2_Y,bac_source_neighbors_TrajectoryX,bac_source_neighbors_TrajectoryY,MotionAlignmentAngle,age,AverageLengthChangeRatio,prev_time_step_index,difference_neighbors,common_neighbors,cellAge,growthRate,startVol,targetVol,pos,time,radius,dir,ends,strainRate,strainRate_rolling,cellType
295,1,65,53.5303384615385,0.797538461538461,1.85845295111595,0.969235036787133,-3.07613413983512,0,0.0178882690433126,0.0008225786571319,53.5303384615385,0.797538461538461,0,65.2183833173095,1,11785,1,0,0,False,,True,0,True,0,,54.4575748651296,0.858320816982729,52.6031020579474,0.736756106094194,0.0655521668571942,24361,,,,,,,,,,,,,1,,,,,,,,,,,0,1,,-1,0,0,1,,1.85845295111595,1.85845295111595,"[53.53033846153846, 0.7975384615384614]",1475,0.484617518393566,"[-0.997858356364967, -0.0654117774762819]","[[54.45757486512955, 0.8583208169827291], [52.603102057947375, 0.7367561060941937]]",0,0,0
295,2,90,13.0336,1.464,1.98982818446089,1.19430868552693,-1.64284138619438,0,0,0.0128467402317457,13.0336,1.464,0,28.9925872651465,2,11680,3,0,0,False,,True,0,False,0,0.390741685024403,13.1052166530742,2.45633316276398,12.9619833469258,0.471666837236018,13.8561789774848,24115,-1.5415854943237,0.0530285714285714,-1.81485714285714,,,6.2403274381524,5.46565202179363,,,,,,3,2.13699411044317,0.931134145263619,12.9805714285714,3.27885714285714,13.1728723818601,4.32990723699227,12.7882704752827,2.22780704872201,,,0,3,0.776811130057422,178698,0,0,3,-0.055,3.43298781046433,1.98982818446089,"[13.033599999999998, 1.4639999999999997]",1475,0.597154342763466,"[-0.07198275070524533, -0.9974058770635486]","[[13.105216653074157, 2.4563331627639813], [12.96198334692584, 0.4716668372360183]]",-0.0688658547363805,-0.148792579961719,0
295,3,177,38.4162711864407,2.36420338983051,4.03743013736699,1.16903389630859,-1.41520966494415,0,0.0155400639915533,0.0019403958461631,38.4162711864407,2.36420338983051,0,48.0050066617407,3,11456,8,0,0,False,,False,0,False,0,1.71424466515957,38.7290906706237,0.369872800674015,38.1034517022576,4.358533978987,-6.37534006030564,23576,-1.15316879719735,0.936019217936739,-2.10943440544508,,,4.57548370884199,-4.16852308250766,,,,,,10,5.17401974493016,0.780327547323941,37.4802519685039,4.47363779527559,38.0837358651263,1.95800124228363,36.8767680718816,6.98927434826755,,,0,8,0.990426018901171,178695,0,0,8,-0.005,4.40555803718596,3.084318596207,"[38.416271186440675, 2.364203389830508]",1475,0.584516948154297,"[0.15495970136443132, -0.9879207918416568]","[[38.72909067062375, 0.3698728006740153], [38.1034517022576, 4.358533978987001]]",-0.219672452676059,0.0224427247621522,0
295,4,233,17.8627982832618,2.52648927038627,4.39712274405299,1.44080176856718,-2.15622378453448,0,0,0.0495293446748553,17.8627982832618,2.52648927038627,0,46.5941503466852,4,11561,6,0,0,False,,False,0,False,0,0.137095080591119,19.0776259199816,4.35893733776195,16.647970646542,0.694041203010587,1.50840169583528,23781,-0.966751007117829,0.0976554261189477,-0.141510729613734,,,0.602779555088426,1.54341613415654,,,,,,17,4.56616685244236,0.962978990069328,17.7651428571429,2.668,19.0065848082154,4.58406153690406,16.5237009060704,0.751938463095937,-0.0446963562753027,-0.152582995951417,0.0489365138531204,6,0.996689400698686,178689,0,1,6,0,4.65489655277327,4.40698410323451,"[17.862798283261803, 2.526489270386266]",1475,0.720400884283588,"[-0.5525557085541032, -0.8334759678264713]","[[19.077625919981585, 4.358937337761946], [16.64797064654202, 0.6940412030105867]]",-0.0370210099306715,-0.0112242106505483,0
295,5,283,6.54971024734982,3.06419787985866,5.19778859381974,1.44640536187562,-1.21597862662277,0,0,0.109201756691027,6.54971024734982,3.06419787985866,0,38.6261559518892,5,8979,47,0,0,False,,False,0,False,0,0.156672802490006,7.45261661395154,0.627189127379349,5.64680388074811,5.50120663233797,-2.69907140166874,20997,-1.20875818829816,0.0716049841919295,-0.189065278036079,,,0.161677213502208,-2.72262946023282,,,,,,96,5.28930325336681,0.982698163602397,6.47810526315789,3.25326315789474,7.38990714050762,0.770764504726786,5.56630338580817,5.73576181106269,-0.0513174720577192,1.12080905468683,0.766468282102425,31,1.00014514563633,178692,1,1,31,0,5.28250733950668,5.31193975141493,"[6.549710247349823, 3.0641978798586567]",1475,0.723202680937812,"[0.34741942666744163, -0.9377098389022407]","[[7.452616613951535, 0.6271891273793488], [5.646803880748112, 5.501206632337965]]",-0.017301836397603,-0.000419849628152267,41302
295,6,147,51.245387755102,1.98367346938776,3.85294695149006,1.04589518528759,-2.57944599961664,0,0.0235130113049023,0.000718731072028,51.245387755102,1.98367346938776,0,112.915590572601,6,11238,29,0,0,False,,True,0,False,0,,52.8754017890076,3.01049102962905,49.6153737211964,0.956855909146462,0.629943999795494,24362,-2.65134040127677,-1.13879202017887,-0.607787204769549,178691,0.700180141404377,5.90552656211662,0.784499242075842,,,,,179401,1,,,,,,,,,-0.959982730305089,1.84321043190395,0.421484687676443,1,,178691,1,2,1,,3.85294695149006,3.85294695149006,"[51.24538775510203, 1.983673469387755]",1475,0.522947592643793,"[-0.846112886799667, -0.5330037361890946]","[[52.87540178900765, 3.0104910296290477], [49.61537372119641, 0.9568559091464621]]",0,0,0
295,7,257,60.3035019455253,2.65979766536965,4.84262005728806,1.42880629573093,-2.26165348568963,0,0.0009290785003265,0.0959104937048273,60.3035019455253,2.65979766536965,0,27.1650496698641,7,11721,183,0,0,True,"179980, 179987",False,296,False,0,1.55150806781744,61.8463559226103,4.52590159071927,58.7606479684403,0.793693740020033,1.20951428525685,24211,-1.93445341619494,-0.615305327201988,-1.61674051644853,,,8.9426352102332,1.68817870966421,1.78976023623526,0.989698906984495,0.409535478800517,-0.0123876488589177,,2,5.09426423924447,0.950602448138079,60.9188072727273,4.27653818181818,62.216954879067,6.46804333284242,59.6206596663876,2.08503303079394,-1.71554878680694,-2.20074382138915,0.0524583761769988,2,0.950602448138079,178697,1,1,2,-0.01,5.09426423924447,4.84262005728806,"[60.30350194552529, 2.6597976653696493]",1475,0.714403147865467,"[-0.637198028684081, -0.7707001182308986]","[[61.846355922610265, 4.525901590719266], [58.76064796844032, 0.7936937400200328]]",-0.0493975518619215,-0.0246987759309607,0
295,8,141,53.5751489361702,1.76476595744681,3.25939957092035,1.14846947801328,-3.10179386772391,0,0.0429520908716722,0.0006566790414723,53.5751489361702,1.76476595744681,0,92.7152817565309,8,11238,29,0,0,False,,True,0,False,0,,55.2035582159105,1.82960890914311,51.9467396564299,1.6999230057505,0.0398198121952771,24363,-0.606779625790597,1.19096916088931,-0.826694716710495,178691,0.59231722657842,35.8338548423194,0.784499242075842,,,,,179399,1,,,,,,,,,-0.237145098039221,1.39598431372549,0.229319220064402,1,,178691,2,1,1,,3.25939957092035,3.25939957092035,"[53.57514893617021, 1.7647659574468084]",1475,0.574234739006639,"[-0.9992081328528049, -0.03978828019419229]","[[55.20355821591048, 1.8296089091431127], [51.94673965642993, 1.6999230057505041]]",0,0,0
295,9,297,67.4947878787879,3.69115151515152,5.66756229602152,1.40347760294354,-2.30079775839917,0,0,0.0311549156402498,67.4947878787879,3.69115151515152,0,7.05029319555603,9,5490,295,0,0,False,,False,0,False,0,0.421462270072321,69.3845535017034,5.80280998310223,65.6050222558724,1.5794930472008,1.11741818262778,19950,-1.12801556550292,0.25538489371327,-0.538579828132067,,,4.52982996493221,0.953758190054419,,,,,,45,5.76811789888084,0.98256699938834,67.2394029850746,4.22973134328358,69.3264234690808,6.22024422271586,65.1523825010684,2.2392184638513,-0.200075786282682,-0.779331564986738,0.02568992757377,42,1.00044571792329,178701,0,1,42,-0.002,6.83793580108801,5.76889254226396,"[67.49478787878788, 3.6911515151515153]",1475,0.70173880147177,"[-0.6668707017978716, -0.745173447650689]","[[69.3845535017034, 5.802809983102227], [65.60502225587236, 1.579493047200804]]",-0.0174330006116604,2.48117254339028E-05,0
295,10,127,50.9329133858268,2.97184251968504,2.93772190269894,1.14566055356508,-2.66351124143011,0,0.0326072086660763,0.0007511764163459,50.9329133858268,2.97184251968504,0,47.8994633676548,10,11719,6,0,0,True,,False,297,False,0,0.7603827081581,52.2370845510154,3.64763099716145,49.6287422206382,2.29605404220863,0.518174680988807,24209,0.683046749170538,0.589793385826773,0.479922519685039,,,31.4978536747183,1.65705849660815,,,,,,3,4.25659881162795,0.690157102584776,50.34312,2.49192,51.442778780841,4.31411892616238,49.243461219159,0.669721073837622,,,0.705847587552578,2,1.71222817779612,178690,0,1,2,0.064,4.25659881162795,8.03261080409337,"[50.93291338582677, 2.971842519685039]",1475,0.572830276782541,"[-0.8878792536423783, -0.4600765490127194]","[[52.23708455101538, 3.647630997161446], [49.628742220638166, 2.2960540422086324]]",-0.309842897415224,-0.154921448707612,0
