lable,first time step,last time step,birth Length,division threshold,elongation rate,average proximity
1,1,68,19.11170477,63.14638374,0.194,562.6092960624727
2,1,3,25.10612486,28.58705995,0.58,238.9797510610083
3,1,75,16.87699444,53.78693014,0.14,132.0831071142542
4,1,4,18.33930171,16.34971394,-0.204,153.56999665513118
5,1,7,28.14000906,29.31975331,0.392,279.92182012960694
2,4,12,25.88145873,17.51398995,-0.147,31.300675068259814
2,4,11,27.07129887,26.61813105,-0.0,14.328256376039155
5,8,11,18.60401479,30.09970857,1.156,276.0992311617217
5,8,10,10.63696499,14.26780369,0.605,284.434043492508
2,12,22,28.40478724,27.70355115,0.003,436.61243106108253
2,12,12,26.85021445,26.85021445,NaN,225.25813422426705
5,12,14,17.27285259,30.75024217,2.246,277.8377151107664
5,12,12,13.27986291,13.27986291,NaN,284.7317483437158
2,13,80,28.97509919,56.35722419,0.141,659.2913336427572
2,13,22,17.26482905,18.07867696,0.021,465.32680826993317
5,15,15,13.96490931,13.96490931,NaN,274.1150945541157
5,15,16,16.72487557,32.06279006,5.113,281.59118890815046
5,17,26,18.41179126,36.94111719,0.425,274.1485856702257
5,17,25,13.08401158,15.17817529,0.052,284.2696136192815
2,23,78,30.75969558,98.33014896,0.378,688.0587301894165
2,23,97,27.78335012,62.30974831,0.137,681.7900795795006
5,27,32,22.07858539,39.84373331,1.509,275.32928612359393
5,27,29,14.44692185,14.65101721,0.034,284.7194710071042
5,33,34,18.84464107,19.63308222,0.263,270.9440145391785
5,33,35,19.43101087,43.67705917,4.041,281.69290760216603
5,36,77,19.65273814,53.8903639,0.275,271.15190849588487
5,36,89,18.87722707,76.33315234,0.341,283.1095026226458
1,69,96,31.11442732,63.083644,0.372,632.327389491882
1,69,99,28.208975,34.42201213,0.062,628.3303261073964
3,76,97,25.1709394,45.7063735,0.33,212.02081756814815
3,76,97,23.59112546,45.02385206,0.336,204.935508439381
5,78,111,25.54591467,65.42735388,0.401,265.87714273779454
5,78,101,26.22981381,52.85040606,0.378,278.4387290912527
2,79,80,25.67053156,24.86789808,-0.268,710.895158045746
2,79,82,71.22623643,109.504749,4.904,683.4070598497361
2,81,89,27.58043614,31.81742712,0.19,697.9214954299068
2,81,98,24.25110174,41.87428616,0.366,675.7709189616936
2,83,85,53.43820174,55.49715231,0.343,707.3507103409414
2,83,97,47.7833042,71.41299225,0.579,667.7311383263697
2,86,86,45.50630064,45.50630064,NaN,711.4490683637302
2,86,86,11.14770304,11.14770304,NaN,689.7329908045795
2,87,89,31.59445585,32.528333,0.156,717.363890855047
2,87,89,27.99702021,31.79103443,0.632,695.1052144253871
2,90,91,15.66865959,18.54526202,0.959,729.2667008601279
2,90,90,29.96980329,29.96980329,NaN,711.4468794550336
2,90,104,32.33132679,51.44108261,0.437,548.3820569551638
2,90,90,19.59925795,19.59925795,NaN,692.9729600487797
5,90,106,38.36943204,65.13946592,0.576,272.9745485590434
5,90,102,36.16701701,54.18095568,0.507,287.7366942470347
2,91,91,15.61829489,15.61829489,NaN,716.3885439869266
2,91,92,34.8779,69.31714604,11.48,707.0001483996803
2,93,96,35.36806297,37.11090354,0.217,731.1451439078658
2,93,99,36.05722954,43.83199042,0.451,704.2163656623549
2,97,107,32.99701281,57.94160368,0.869,416.08079258655744
2,97,98,6.808195875,5.183068351,-0.542,716.9392557513161
