ImageNumber,YFP,RFP,ObjectNumber,AreaShape_MajorAxisLength,AreaShape_Orientation,Location_Center_X,Location_Center_Y,TrackObjects_Label_50,TrackObjects_ParentImageNumber_50,TrackObjects_ParentObjectNumber_50
1,1,0,1,19.11170477,-66.67899832,997.0425532,80.75531915,1,0.0,0
1,1,0,2,25.10612486,14.42987788,1267.205882,99.10784314,2,0.0,0
1,1,0,3,16.87699444,46.42777898,206.8604651,122.5232558,3,0.0,0
1,1,0,4,18.33930171,-29.42700383,1348.189189,312.1216216,4,0.0,0
1,1,0,5,28.14000906,11.43260541,111.0,745.9785714,5,0.0,0
1,0,1,6,25.4681181,-57.92675979,323.2281879,11.23489933,6,0.0,0
1,0,1,7,27.63285786,-56.25818555,300.2023121,25.8150289,7,0.0,0
1,0,1,8,39.27853256,-65.6620917,293.350211,494.4345992,8,0.0,0
1,0,1,9,38.12441791,-67.38722119,258.8781513,509.105042,9,0.0,0
1,0,1,10,31.2703334,-54.8577861,948.1843575,713.4413408,10,0.0,0
1,0,1,11,30.22839735,-32.89099541,925.9310345,733.5747126,11,0.0,0
2,1,0,1,19.21407819,-67.46404603,1002.918367,80.46938776,1,1.0,1
2,1,0,12,26.57809471,21.16890386,1267.872881,106.3813559,2,1.0,2
2,1,0,3,17.78982347,46.05212273,212.7294118,122.1411765,3,1.0,3
2,1,0,4,16.55439811,-54.60032665,1339.673913,319.4347826,4,1.0,4
2,1,0,5,14.45797512,11.83723201,118.1643836,751.5753425,5,1.0,5
2,0,1,6,25.08979854,-57.20392627,329.3129252,10.91156463,6,1.0,6
2,0,1,7,27.85795085,-55.96094593,306.4463277,25.40677966,7,1.0,7
2,0,1,13,17.132234,17.0237632,1279.492754,98.08695652,12,0.0,0
2,0,1,14,17.15420993,-29.59800458,1354.014493,312.3478261,13,0.0,0
2,0,1,15,39.78416517,-66.34977605,299.387234,494.2340426,8,1.0,8
2,0,1,8,37.80535737,-67.32943406,264.9695652,508.9652174,9,1.0,9
2,0,1,9,31.81960654,-54.2203401,954.1828571,713.12,10,1.0,10
2,0,1,10,30.31676373,-32.69841362,932.0344828,733.3218391,11,1.0,11
3,1,0,1,19.5254971,-66.94974231,1005.959184,80.40816327,1,2.0,1
3,1,0,2,28.58705995,3.74436971,1273.40553,103.2119816,2,2.0,12
3,1,0,12,17.88498647,45.96673769,215.7586207,122.0804598,3,2.0,3
3,1,0,16,16.39762313,-56.22184188,1342.711111,319.3555556,4,2.0,4
3,1,0,17,27.19220485,10.45509541,120.3333333,746.3481481,5,2.0,5
3,0,1,6,25.2519491,-56.92040093,332.3648649,10.85810811,6,2.0,6
3,0,1,7,28.08517639,-55.98992267,309.5454545,25.32954545,7,2.0,7
3,0,1,13,16.89651443,17.19991872,1282.492958,98.08450704,12,2.0,13
3,0,1,18,17.80411431,-28.68306838,1357.085714,312.3142857,13,2.0,14
3,0,1,14,40.09731201,-66.15396651,302.27897,494.2703863,8,2.0,15
3,0,1,19,38.37222182,-67.3118386,267.75,509.0570175,9,2.0,8
