ImageNumber,ObjectNumber,AreaShape_Area,AreaShape_BoundingBoxArea,AreaShape_BoundingBoxMaximum_X,AreaShape_BoundingBoxMaximum_Y,AreaShape_BoundingBoxMinimum_X,AreaShape_BoundingBoxMinimum_Y,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Compactness,AreaShape_ConvexArea,AreaShape_Eccentricity,AreaShape_EquivalentDiameter,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,Location_Center_X,Location_Center_Y,Location_Center_Z,Neighbors_AngleBetweenNeighbors_Expanded,Neighbors_FirstClosestDistance_Expanded,Neighbors_FirstClosestObjectNumber_Expanded,Neighbors_NumberOfNeighbors_Expanded,Neighbors_PercentTouching_Expanded,Neighbors_SecondClosestDistance_Expanded,Neighbors_SecondClosestObjectNumber_Expanded,Number_Object_Number,Parent_RunOmnipose,TrackObjects_Displacement_50,TrackObjects_DistanceTraveled_50,TrackObjects_FinalAge_50,TrackObjects_IntegratedDistance_50,TrackObjects_Label_50,TrackObjects_Lifetime_50,TrackObjects_Linearity_50,TrackObjects_ParentImageNumber_50,TrackObjects_ParentObjectNumber_50,TrackObjects_TrajectoryX_50,TrackObjects_TrajectoryY_50
1,1,267,561,114,82,81,65,97.08614232209737,73.02621722846442,1.9162482732269024,301,0.9676632128245496,18.437867513470433,1,0.47593582887700536,0.5218530468998316,37.20276903445694,34.17601498127012,4.47213595499958,2.30534703533202,2.23606797749979,8.82829675132252,9.384239503539362,-67.77069862104031,80.18376618407356,0.8870431893687708,97.08614232209737,73.02621722846442,0,0.0,8.947750476570246,2,1.0,49.62311557788945,0.0,0,1,1,0.0,0.0,nan,0.0,1,1,nan,0.0,0,0.0,0.0
1,2,264,540,117,90,87,72,101.60984848484848,80.74621212121212,1.7877434423516543,295,0.9596562653541834,18.333991376950163,1,0.4888888888888889,0.5593643787525622,35.206651753605435,31.78049716414141,5.0,2.3836520592318053,2.23606797749979,9.34719542804484,9.899259840762516,-64.9007422149506,77.01219330881975,0.8949152542372881,101.60984848484848,80.74621212121212,0,0.0,8.947750476570246,1,1.0,50.25445292620865,0.0,0,2,2,0.0,0.0,nan,0.0,2,1,nan,0.0,0,0.0,0.0
2,1,305,770,114,87,79,65,95.50819672131148,74.12786885245902,2.2123390208850595,366,0.9713423366740555,19.706294962377495,1,0.3961038961038961,0.45201028891130074,41.95996763033787,38.01315561749642,4.47213595499958,2.2914958178985665,2.23606797749979,10.394227032583204,9.97324658779884,-63.3158823148488,92.08326112068522,0.8333333333333334,95.50819672131148,74.12786885245902,0,0.0,9.079351472145294,2,1.0,42.89473684210526,0.0,0,1,1,1.9244606048681527,1.9244606048681527,nan,1.9244606048681527,1,2,1.0,1.0,1,-1.5779456007858954,1.1016516239945986
2,2,271,608,118,90,86,71,101.8929889298893,80.58302583025831,1.8718396887184214,302,0.9636353655998717,18.575465448360347,1,0.4457236842105263,0.5342337840291561,36.522261216932876,33.61547262794322,5.0,2.365333365257178,2.23606797749979,8.94427190999916,9.759502817766954,-64.11436724043752,79.84062043356595,0.8973509933774835,101.8929889298893,80.58302583025831,0,0.0,9.079351472145294,1,1.0,47.521865889212826,0.0,0,2,2,0.3268000568744967,0.3268000568744967,nan,0.3268000568744967,2,2,1.0,1.0,2,0.28314044504081437,-0.1631862909538171
3,1,315,828,115,87,79,64,95.60317460317461,73.99365079365079,2.360774261291268,395,0.9735931057416133,20.026743534373637,1,0.3804347826086957,0.42358984355117124,44.10518804262071,39.35733730830886,4.47213595499958,2.2558599472881826,2.0,10.992614040881115,10.068786936147328,-63.33691481676688,96.66904755831213,0.7974683544303798,95.60317460317461,73.99365079365079,0,0.0,9.011176045938116,2,1.0,42.695214105793454,0.0,0,1,1,1.770627278231135,0.16442410210627942,nan,2.088884706974432,1,3,0.8476424152655772,2.0,1,0.09497788186313016,-0.13421805880823
3,2,279,589,118,90,87,71,101.95698924731182,80.38351254480287,1.8181668661028394,305,0.962650616506671,18.847647942942654,1,0.47368421052631576,0.5500045230410869,36.766482401744646,33.54101966249684,5.0,2.4092053341151676,2.23606797749979,9.391485505499118,9.954404797890763,-63.99202644709077,79.84062043356595,0.9147540983606557,101.95698924731182,80.38351254480287,0,0.0,9.011176045938116,1,1.0,50.073855243722306,0.0,0,2,2,0.502053474931787,0.2095270667560812,nan,0.5363271236305779,2,3,0.9360956267384333,2.0,2,0.06400031742252565,-0.19951328545543845
4,1,328,874,116,87,78,64,95.82926829268293,73.8719512195122,2.37362179655131,404,0.9767939472812278,20.435815879801165,1,0.37528604118993136,0.4212971086855215,46.04213830854174,41.14608122288197,4.47213595499958,2.279312848159684,2.23606797749979,10.58701589969418,9.861360231561028,-64.08255914116577,98.91168824543142,0.8118811881188119,95.82926829268293,73.8719512195122,0,0.0,9.007242474159579,2,1.0,43.46733668341709,0.0,0,1,1,1.5149251827830033,0.25676670886428676,nan,2.3456514158387187,1,4,0.6458441235358586,3.0,1,0.22609368950831765,-0.12169957413858867
4,2,295,660,119,91,86,71,101.8406779661017,80.57966101694915,1.9227584684042236,331,0.9684061542207854,19.38054864282415,1,0.44696969696969696,0.520086124405392,39.49694116343542,35.77708763999664,5.0,2.3954405466804474,2.23606797749979,9.391485505499118,9.849678772033178,-64.6264975940579,84.42640687119285,0.8912386706948641,101.8406779661017,80.57966101694915,0,0.0,9.007242474159579,1,1.0,50.217706821480405,0.0,0,2,2,0.28464279324592695,0.22804064826705944,nan,0.7643677718976374,2,4,0.37238984126615654,3.0,2,-0.11631128121013035,0.19614847214627673
5,1,347,936,117,87,78,63,96.40634005763688,73.55043227665706,2.468050913153289,422,0.9777853426934934,21.019374919894773,1,0.37072649572649574,0.40517802719165,47.920885446335326,42.485291572496,5.0,2.3042965721022703,2.23606797749979,10.514796785343329,10.044636387156054,-64.40303572451364,103.7401153701776,0.8222748815165877,96.40634005763688,73.55043227665706,0,0.0,8.990848619306707,2,1.0,43.51245085190039,0.0,0,1,1,0.8584477476918605,0.6605953773088017,nan,3.0062467931475205,1,5,0.28555464895584015,4.0,1,0.5770717649539563,-0.3215189428551355
5,2,308,756,121,91,85,70,102.34740259740259,80.2987012987013,2.042476802873945,351,0.9730530847130243,19.802974013476614,1,0.4074074074074074,0.4896016437459225,42.012876690049524,38.07886552931954,5.0,2.3628784634572293,2.23606797749979,9.355792135620343,9.687379935976537,-64.33224799089624,88.91168824543142,0.8774928774928775,102.34740259740259,80.2987012987013,0,0.0,8.990848619306707,1,1.0,47.76978417266187,0.0,0,2,2,0.8627004145181508,0.5794033269191143,nan,1.3437710988167517,2,5,0.6419995304838716,4.0,2,0.506724631300898,-0.2809597182478427
